dates,Temperature_Deviations
1973M03,0.39
1973M04,0.30
1973M05,0.29
1973M06,0.21
1973M07,0.12
1973M08,0.12
1973M09,0.03
1973M10,0.06
1973M11,0.07
1973M12,0.09
1974M01,-0.03
1974M02,-0.17
1974M03,0.05
1974M04,-0.05
1974M05,-0.08
1974M06,-0.11
1974M07,0.02
1974M08,-0.03
1974M09,-0.16
1974M10,-0.18
1974M11,-0.17
1974M12,-0.18
1975M01,0.00
1975M02,0.13
1975M03,0.16
1975M04,0.10
1975M05,0.06
1975M06,0.02
1975M07,0.01
1975M08,-0.08
1975M09,-0.03
1975M10,-0.19
1975M11,-0.19
1975M12,-0.21
1976M01,0.01
1976M02,-0.18
1976M03,-0.35
1976M04,-0.15
1976M05,-0.14
1976M06,-0.17
1976M07,-0.07
1976M08,-0.13
1976M09,-0.12
1976M10,-0.31
1976M11,-0.17
1976M12,-0.10
1977M01,0.00
1977M02,0.11
1977M03,0.22
1977M04,0.24
1977M05,0.21
1977M06,0.29
1977M07,0.15
1977M08,0.13
1977M09,0.15
1977M10,0.11
1977M11,0.37
1977M12,0.19
1978M01,0.16
1978M02,0.17
1978M03,0.27
1978M04,0.12
1978M05,0.08
1978M06,-0.02
1978M07,0.18
1978M08,-0.03
1978M09,0.03
1978M10,-0.02
1978M11,0.14
1978M12,0.09
1979M01,0.25
1979M02,0.03
1979M03,0.21
1979M04,0.04
1979M05,0.09
1979M06,0.29
1979M07,0.27
1979M08,0.17
1979M09,0.22
1979M10,0.19
1979M11,0.31
1979M12,0.50
1980M01,0.30
1980M02,0.41
1980M03,0.33
1980M04,0.36
1980M05,0.47
1980M06,0.32
1980M07,0.22
1980M08,0.14
1980M09,0.15
1980M10,0.21
1980M11,0.10
1980M12,0.22
1981M01,0.52
1981M02,0.50
1981M03,0.50
1981M04,0.52
1981M05,0.31
1981M06,0.26
1981M07,0.22
1981M08,0.30
1981M09,0.33
1981M10,0.23
1981M11,0.26
1981M12,0.53
1982M01,0.13
1982M02,0.27
1982M03,0.11
1982M04,0.18
1982M05,0.15
1982M06,0.08
1982M07,0.14
1982M08,0.17
1982M09,0.15
1982M10,0.03
1982M11,0.05
1982M12,0.19
1983M01,0.40
1983M02,0.40
1983M03,0.37
1983M04,0.28
1983M05,0.33
1983M06,0.32
1983M07,0.37
1983M08,0.40
1983M09,0.27
1983M10,0.25
1983M11,0.47
1983M12,0.31
1984M01,0.13
1984M02,0.04
1984M03,0.18
1984M04,0.07
1984M05,0.25
1984M06,0.14
1984M07,0.06
1984M08,0.03
1984M09,0.03
1984M10,0.16
1984M11,0.05
1984M12,-0.21
1985M01,0.10
1985M02,-0.04
1985M03,0.13
1985M04,0.06
1985M05,0.13
1985M06,0.12
1985M07,0.06
1985M08,0.09
1985M09,0.03
1985M10,-0.02
1985M11,0.08
1985M12,0.12
1986M01,0.42
1986M02,0.26
1986M03,0.17
1986M04,0.35
1986M05,0.25
1986M06,0.23
1986M07,0.06
1986M08,0.18
1986M09,0.08
1986M10,0.07
1986M11,0.14
1986M12,0.26
1987M01,0.31
1987M02,0.46
1987M03,0.24
1987M04,0.30
1987M05,0.30
1987M06,0.38
